"stat_name","stat_label","stat_qtr","stat_year","pt_group","qtr_result"
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2009,"County of Residence: Weld",1.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2009,"Not a Tri-County Resident",8.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2009,"Tri-County Resident",3.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2009,"All Patients",25.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2009,"County of Residence: Adams",4.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2009,"County of Residence: Arapahoe",4.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2009,"County of Residence: Boulder",2.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2009,"County of Residence: Broomfield",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2009,"County of Residence: Denver",8.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2009,"County of Residence: Douglas",2.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2009,"County of Residence: El Paso",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2009,"County of Residence: Jefferson",3.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2009,"County of Residence: Larimer",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2009,"County of Residence: Morgan",1.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2009,"County of Residence: Out of State",1.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2009,"County of Residence: Weld",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2009,"Not a Tri-County Resident",15.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2009,"Tri-County Resident",10.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2010,"All Patients",4.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2010,"County of Residence: Adams",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2010,"County of Residence: Arapahoe",1.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2010,"County of Residence: Boulder",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2010,"County of Residence: Broomfield",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2010,"County of Residence: Denver",2.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2010,"County of Residence: Douglas",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2010,"County of Residence: El Paso",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2010,"County of Residence: Jefferson",1.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2010,"County of Residence: Larimer",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2010,"County of Residence: Morgan",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2010,"County of Residence: Out of State",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2010,"County of Residence: Weld",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2010,"Not a Tri-County Resident",3.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2010,"Tri-County Resident",1.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2010,"All Patients",12.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2010,"County of Residence: Adams",3.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2010,"County of Residence: Arapahoe",2.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2010,"County of Residence: Boulder",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2010,"County of Residence: Broomfield",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2010,"County of Residence: Denver",4.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2010,"County of Residence: Douglas",1.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2010,"County of Residence: El Paso",1.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2010,"County of Residence: Jefferson",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2010,"County of Residence: Larimer",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2010,"County of Residence: Morgan",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2010,"County of Residence: Out of State",1.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2010,"County of Residence: Weld",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2010,"Not a Tri-County Resident",6.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2010,"Tri-County Resident",6.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2010,"All Patients",8.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2010,"County of Residence: Adams",1.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2010,"County of Residence: Arapahoe",3.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2010,"County of Residence: Boulder",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2010,"County of Residence: Broomfield",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2010,"County of Residence: Denver",4.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2010,"County of Residence: Douglas",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2010,"County of Residence: El Paso",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2010,"County of Residence: Jefferson",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2010,"County of Residence: Larimer",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2010,"County of Residence: Morgan",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2010,"County of Residence: Out of State",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2010,"County of Residence: Weld",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2010,"Not a Tri-County Resident",4.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2010,"Tri-County Resident",4.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2010,"All Patients",25.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2010,"County of Residence: Adams",1.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2010,"County of Residence: Arapahoe",10.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2010,"County of Residence: Boulder",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2010,"County of Residence: Broomfield",1.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2010,"County of Residence: Denver",13.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2010,"County of Residence: Douglas",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2010,"County of Residence: El Paso",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2010,"County of Residence: Jefferson",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2010,"County of Residence: Larimer",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2010,"County of Residence: Morgan",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2010,"County of Residence: Out of State",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2010,"County of Residence: Weld",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2010,"Not a Tri-County Resident",14.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2010,"Tri-County Resident",11.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2011,"All Patients",8.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2011,"County of Residence: Adams",1.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2011,"County of Residence: Arapahoe",1.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2011,"County of Residence: Boulder",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2011,"County of Residence: Broomfield",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2011,"County of Residence: Denver",6.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2011,"County of Residence: Douglas",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2011,"County of Residence: El Paso",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2011,"County of Residence: Jefferson",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2011,"County of Residence: Larimer",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2011,"County of Residence: Morgan",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2011,"County of Residence: Out of State",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2011,"County of Residence: Weld",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2011,"Not a Tri-County Resident",6.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2011,"Tri-County Resident",2.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2011,"All Patients",16.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2011,"County of Residence: Adams",2.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2011,"County of Residence: Arapahoe",2.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2011,"County of Residence: Boulder",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2011,"County of Residence: Broomfield",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2011,"County of Residence: Denver",8.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2011,"County of Residence: Douglas",1.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2011,"County of Residence: El Paso",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2011,"County of Residence: Jefferson",1.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2011,"County of Residence: Larimer",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2011,"County of Residence: Morgan",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2011,"County of Residence: Out of State",1.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2011,"County of Residence: Weld",1.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2011,"Not a Tri-County Resident",11.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2011,"Tri-County Resident",5.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2011,"All Patients",14.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2011,"County of Residence: Adams",5.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2011,"County of Residence: Arapahoe",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2011,"County of Residence: Boulder",3.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2011,"County of Residence: Broomfield",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2011,"County of Residence: Denver",4.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2011,"County of Residence: Douglas",1.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2011,"County of Residence: El Paso",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2011,"County of Residence: Jefferson",1.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2011,"County of Residence: Larimer",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2011,"County of Residence: Morgan",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2011,"County of Residence: Out of State",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2011,"County of Residence: Weld",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2011,"Not a Tri-County Resident",8.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2011,"Tri-County Resident",6.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2011,"All Patients",15.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2011,"County of Residence: Adams",2.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2011,"County of Residence: Arapahoe",2.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2011,"County of Residence: Boulder",2.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2011,"County of Residence: Broomfield",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2011,"County of Residence: Denver",4.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2011,"County of Residence: Douglas",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2011,"County of Residence: El Paso",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2011,"County of Residence: Jefferson",4.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2011,"County of Residence: Larimer",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2011,"County of Residence: Morgan",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2011,"County of Residence: Out of State",1.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2011,"County of Residence: Weld",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2011,"Not a Tri-County Resident",11.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2011,"Tri-County Resident",4.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2012,"All Patients",10.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2012,"County of Residence: Adams",3.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2012,"County of Residence: Arapahoe",3.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2012,"County of Residence: Boulder",2.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2012,"County of Residence: Broomfield",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2012,"County of Residence: Denver",2.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2012,"County of Residence: Douglas",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2012,"County of Residence: El Paso",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2012,"County of Residence: Jefferson",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2012,"County of Residence: Larimer",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2012,"County of Residence: Morgan",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2012,"County of Residence: Out of State",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2012,"County of Residence: Weld",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2012,"Not a Tri-County Resident",4.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2012,"Tri-County Resident",6.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2012,"All Patients",15.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2012,"County of Residence: Adams",2.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2012,"County of Residence: Arapahoe",6.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2012,"County of Residence: Boulder",2.00
