MO2,Q10round,treatment,pH,Exposure,trial
42.23135192,11ºC Data,6,7.6,11 ºC Emmersed,Apr_2012
20.48855041,11ºC Data,6,7.6,11 ºC Emmersed,Apr_2012
37.34098462,11ºC Data,6,7.6,11 ºC Emmersed,Apr_2012
21.66768927,18ºC Data,6,7.6,11 ºC Emmersed,Apr_2012
32.0015229,18ºC Data,6,7.6,11 ºC Emmersed,Apr_2012
80.45225715,18ºC Data,6,7.6,11 ºC Emmersed,Apr_2012
45.49893856,18ºC Data,6,7.6,11 ºC Emmersed,Apr_2012
34.73752944,18ºC Data,6,7.6,11 ºC Emmersed,Apr_2012
45.64871525,18ºC Data,6,7.6,11 ºC Emmersed,Apr_2012
28.84795677,11ºC Data,6,7.6,11 ºC Emmersed,Oct_2012
26.80767418,11ºC Data,6,7.6,11 ºC Emmersed,Oct_2012
20.27347443,11ºC Data,6,7.6,11 ºC Emmersed,Oct_2012
22.86061649,11ºC Data,6,7.6,11 ºC Emmersed,Oct_2012
28.73532279,11ºC Data,6,7.6,11 ºC Emmersed,Oct_2012
15.7452949,11ºC Data,6,7.6,11 ºC Emmersed,Oct_2012
37.6413244,18ºC Data,6,7.6,11 ºC Emmersed,Oct_2012
56.16644329,18ºC Data,6,7.6,11 ºC Emmersed,Oct_2012
36.34112802,18ºC Data,6,7.6,11 ºC Emmersed,Oct_2012
29.40843009,18ºC Data,6,7.6,11 ºC Emmersed,Oct_2012
50.30653782,18ºC Data,6,7.6,11 ºC Emmersed,Oct_2012
29.29967902,18ºC Data,6,7.6,11 ºC Emmersed,Oct_2012
26.32763847,11ºC Data,1,8.1,11 ºC Immersed,Apr_2012
24.38579883,11ºC Data,1,8.1,11 ºC Immersed,Apr_2012
16.95025866,11ºC Data,1,8.1,11 ºC Immersed,Apr_2012
32.39623509,11ºC Data,1,8.1,11 ºC Immersed,Apr_2012
36.1376245,11ºC Data,1,8.1,11 ºC Immersed,Apr_2012
23.65376135,11ºC Data,1,8.1,11 ºC Immersed,Apr_2012
51.72444321,18ºC Data,1,8.1,11 ºC Immersed,Apr_2012
37.89803233,18ºC Data,1,8.1,11 ºC Immersed,Apr_2012
28.21343519,18ºC Data,1,8.1,11 ºC Immersed,Apr_2012
37.09894517,18ºC Data,1,8.1,11 ºC Immersed,Apr_2012
35.2789999,18ºC Data,1,8.1,11 ºC Immersed,Apr_2012
35.21343519,18ºC Data,1,8.1,11 ºC Immersed,Apr_2012
35.6655414,11ºC Data,1,8.1,11 ºC Immersed,Oct_2012
20.8894773,11ºC Data,1,8.1,11 ºC Immersed,Oct_2012
29.43495025,11ºC Data,1,8.1,11 ºC Immersed,Oct_2012
45.51274263,11ºC Data,1,8.1,11 ºC Immersed,Oct_2012
29.50149202,11ºC Data,1,8.1,11 ºC Immersed,Oct_2012
25.32805169,11ºC Data,1,8.1,11 ºC Immersed,Oct_2012
34.20843704,18ºC Data,1,8.1,11 ºC Immersed,Oct_2012
38.39251368,18ºC Data,1,8.1,11 ºC Immersed,Oct_2012
48.74686257,18ºC Data,1,8.1,11 ºC Immersed,Oct_2012
39.59505623,18ºC Data,1,8.1,11 ºC Immersed,Oct_2012
47.82594409,18ºC Data,1,8.1,11 ºC Immersed,Oct_2012
42.65405922,18ºC Data,1,8.1,11 ºC Immersed,Oct_2012
27.8482264,11ºC Data,1,8.1,11 ºC Immersed,Aug_2012
24.44953777,11ºC Data,1,8.1,11 ºC Immersed,Aug_2012
46.18390305,11ºC Data,1,8.1,11 ºC Immersed,Aug_2012
28.24196319,11ºC Data,1,8.1,11 ºC Immersed,Aug_2012
14.89777928,11ºC Data,1,8.1,11 ºC Immersed,Aug_2012
12.64828175,11ºC Data,1,8.1,11 ºC Immersed,Aug_2012
67.60957899,11ºC Data,1,8.1,11 ºC Immersed,Aug_2012
65.31535059,18ºC Data,1,8.1,11 ºC Immersed,Aug_2012
41.15674919,18ºC Data,1,8.1,11 ºC Immersed,Aug_2012
132.8519191,18ºC Data,1,8.1,11 ºC Immersed,Aug_2012
23.19651271,18ºC Data,1,8.1,11 ºC Immersed,Aug_2012
58.66540614,18ºC Data,1,8.1,11 ºC Immersed,Aug_2012
11.57044854,18ºC Data,1,8.1,11 ºC Immersed,Aug_2012
39.21228064,18ºC Data,1,8.1,11 ºC Immersed,Aug_2012
35.6655414,11ºC Data,1,8.1,11 ºC Immersed,Nov_2012
20.8894773,11ºC Data,1,8.1,11 ºC Immersed,Nov_2012
29.43495025,11ºC Data,1,8.1,11 ºC Immersed,Nov_2012
45.51274263,11ºC Data,1,8.1,11 ºC Immersed,Nov_2012
29.50149202,11ºC Data,1,8.1,11 ºC Immersed,Nov_2012
25.32805169,11ºC Data,1,8.1,11 ºC Immersed,Nov_2012
34.20843704,18ºC Data,1,8.1,11 ºC Immersed,Nov_2012
38.39251368,18ºC Data,1,8.1,11 ºC Immersed,Nov_2012
48.74686257,18ºC Data,1,8.1,11 ºC Immersed,Nov_2012
39.59505623,18ºC Data,1,8.1,11 ºC Immersed,Nov_2012
47.82594409,18ºC Data,1,8.1,11 ºC Immersed,Nov_2012
42.65405922,18ºC Data,1,8.1,11 ºC Immersed,Nov_2012
13.00285563,11ºC Data,3,8.1,25 ºC Emmersed,Apr_2012
33.41928435,11ºC Data,3,8.1,25 ºC Emmersed,Apr_2012
33.36797595,11ºC Data,3,8.1,25 ºC Emmersed,Apr_2012
29.07925109,11ºC Data,3,8.1,25 ºC Emmersed,Apr_2012
29.95608227,11ºC Data,3,8.1,25 ºC Emmersed,Apr_2012
28.66141051,11ºC Data,3,8.1,25 ºC Emmersed,Apr_2012
16.77363242,18ºC Data,3,8.1,25 ºC Emmersed,Apr_2012
35.55206657,18ºC Data,3,8.1,25 ºC Emmersed,Apr_2012
64.59688845,18ºC Data,3,8.1,25 ºC Emmersed,Apr_2012
27.72396893,18ºC Data,3,8.1,25 ºC Emmersed,Apr_2012
32.57833013,18ºC Data,3,8.1,25 ºC Emmersed,Apr_2012
40.08891188,18ºC Data,3,8.1,25 ºC Emmersed,Apr_2012
22.52674936,11ºC Data,3,8.1,25 ºC Emmersed,Oct_2012
55.40434947,11ºC Data,3,8.1,25 ºC Emmersed,Oct_2012
36.61555107,11ºC Data,3,8.1,25 ºC Emmersed,Oct_2012
13.32063657,11ºC Data,3,8.1,25 ºC Emmersed,Oct_2012
17.58409535,11ºC Data,3,8.1,25 ºC Emmersed,Oct_2012
18.05277588,11ºC Data,3,8.1,25 ºC Emmersed,Oct_2012
39.33915472,18ºC Data,3,8.1,25 ºC Emmersed,Oct_2012
91.66696603,18ºC Data,3,8.1,25 ºC Emmersed,Oct_2012
33.46974096,18ºC Data,3,8.1,25 ºC Emmersed,Oct_2012
35.0758816,18ºC Data,3,8.1,25 ºC Emmersed,Oct_2012
31.15525133,18ºC Data,3,8.1,25 ºC Emmersed,Oct_2012
36.32858888,18ºC Data,3,8.1,25 ºC Emmersed,Oct_2012
22.52674936,11ºC Data,3,8.1,25 ºC Emmersed,Nov_2012
55.40434947,11ºC Data,3,8.1,25 ºC Emmersed,Nov_2012
36.61555107,11ºC Data,3,8.1,25 ºC Emmersed,Nov_2012
13.32063657,11ºC Data,3,8.1,25 ºC Emmersed,Nov_2012
17.58409535,11ºC Data,3,8.1,25 ºC Emmersed,Nov_2012
18.05277588,11ºC Data,3,8.1,25 ºC Emmersed,Nov_2012
39.33915472,18ºC Data,3,8.1,25 ºC Emmersed,Nov_2012
91.66696603,18ºC Data,3,8.1,25 ºC Emmersed,Nov_2012
33.46974096,18ºC Data,3,8.1,25 ºC Emmersed,Nov_2012
35.0758816,18ºC Data,3,8.1,25 ºC Emmersed,Nov_2012
31.15525133,18ºC Data,3,8.1,25 ºC Emmersed,Nov_2012
36.32858888,18ºC Data,3,8.1,25 ºC Emmersed,Nov_2012
29.4899827,11ºC Data,3,8.1,30 ºC Emmersed,Aug_2012
22.47044443,11ºC Data,3,8.1,30 ºC Emmersed,Aug_2012
18.3075544,11ºC Data,3,8.1,30 ºC Emmersed,Aug_2012
27.74335169,11ºC Data,3,8.1,30 ºC Emmersed,Aug_2012
29.78829276,11ºC Data,3,8.1,30 ºC Emmersed,Aug_2012
28.47735646,11ºC Data,3,8.1,30 ºC Emmersed,Aug_2012
35.79275778,18ºC Data,3,8.1,30 ºC Emmersed,Aug_2012
28.68216879,18ºC Data,3,8.1,30 ºC Emmersed,Aug_2012
32.18374956,18ºC Data,3,8.1,30 ºC Emmersed,Aug_2012
50.93810786,18ºC Data,3,8.1,30 ºC Emmersed,Aug_2012
33.09777759,18ºC Data,3,8.1,30 ºC Emmersed,Aug_2012
48.7664744,18ºC Data,3,8.1,30 ºC Emmersed,Aug_2012
19.32827002,11ºC Data,4,8.1,30 ºC Emmersed,Aug_2012
18.74266306,11ºC Data,5,8.1,11 ºC Emmersed,Apr_2012
17.38712792,11ºC Data,5,8.1,11 ºC Emmersed,Apr_2012
30.93518756,11ºC Data,5,8.1,11 ºC Emmersed,Apr_2012
18.4462943,11ºC Data,5,8.1,11 ºC Emmersed,Apr_2012
15.61986589,11ºC Data,5,8.1,11 ºC Emmersed,Apr_2012
26.63216945,11ºC Data,5,8.1,11 ºC Emmersed,Apr_2012
46.00715449,18ºC Data,5,8.1,11 ºC Emmersed,Apr_2012
35.82354045,18ºC Data,5,8.1,11 ºC Emmersed,Apr_2012
47.52526535,18ºC Data,5,8.1,11 ºC Emmersed,Apr_2012
51.21731348,18ºC Data,5,8.1,11 ºC Emmersed,Apr_2012
30.39472316,18ºC Data,5,8.1,11 ºC Emmersed,Apr_2012
44.08203085,18ºC Data,5,8.1,11 ºC Emmersed,Apr_2012
18.5554152,11ºC Data,5,8.1,11 ºC Emmersed,Oct_2012
23.55841846,11ºC Data,5,8.1,11 ºC Emmersed,Oct_2012
18.80342184,11ºC Data,5,8.1,11 ºC Emmersed,Oct_2012
20.20861042,11ºC Data,5,8.1,11 ºC Emmersed,Oct_2012
22.00049044,11ºC Data,5,8.1,11 ºC Emmersed,Oct_2012
20.78342291,11ºC Data,5,8.1,11 ºC Emmersed,Oct_2012
33.85542648,18ºC Data,5,8.1,11 ºC Emmersed,Oct_2012
43.56512507,18ºC Data,5,8.1,11 ºC Emmersed,Oct_2012
28.78399712,18ºC Data,5,8.1,11 ºC Emmersed,Oct_2012
31.62049424,18ºC Data,5,8.1,11 ºC Emmersed,Oct_2012
43.74781964,18ºC Data,5,8.1,11 ºC Emmersed,Oct_2012
34.50492855,18ºC Data,5,8.1,11 ºC Emmersed,Oct_2012
29.6309312,11ºC Data,5,8.1,11 ºC Emmersed,Aug_2012
45.31033961,11ºC Data,5,8.1,11 ºC Emmersed,Aug_2012
27.68074443,11ºC Data,5,8.1,11 ºC Emmersed,Aug_2012
17.57614896,11ºC Data,5,8.1,11 ºC Emmersed,Aug_2012
36.38679839,11ºC Data,5,8.1,11 ºC Emmersed,Aug_2012
52.53588703,11ºC Data,5,8.1,11 ºC Emmersed,Aug_2012
30.89935008,18ºC Data,5,8.1,11 ºC Emmersed,Aug_2012
115.7430026,18ºC Data,5,8.1,11 ºC Emmersed,Aug_2012
27.63666852,18ºC Data,5,8.1,11 ºC Emmersed,Aug_2012
26.55753367,18ºC Data,5,8.1,11 ºC Emmersed,Aug_2012
46.84280831,18ºC Data,5,8.1,11 ºC Emmersed,Aug_2012
61.87362624,18ºC Data,5,8.1,11 ºC Emmersed,Aug_2012
18.5554152,11ºC Data,5,8.1,11 ºC Emmersed,Nov_2012
23.55841846,11ºC Data,5,8.1,11 ºC Emmersed,Nov_2012
18.80342184,11ºC Data,5,8.1,11 ºC Emmersed,Nov_2012
20.20861042,11ºC Data,5,8.1,11 ºC Emmersed,Nov_2012
22.00049044,11ºC Data,5,8.1,11 ºC Emmersed,Nov_2012
20.78342291,11ºC Data,5,8.1,11 ºC Emmersed,Nov_2012
33.85542648,18ºC Data,5,8.1,11 ºC Emmersed,Nov_2012
43.56512507,18ºC Data,5,8.1,11 ºC Emmersed,Nov_2012
28.78399712,18ºC Data,5,8.1,11 ºC Emmersed,Nov_2012
31.62049424,18ºC Data,5,8.1,11 ºC Emmersed,Nov_2012
43.74781964,18ºC Data,5,8.1,11 ºC Emmersed,Nov_2012
34.50492855,18ºC Data,5,8.1,11 ºC Emmersed,Nov_2012
